category,name,lat,lon
Waterfalls,Svartifoss waterfall (Parking),64.026412,-16.9767051
Waterfalls,Systrafoss,63.7875323,-18.0595936
Waterfalls,Urridafoss,63.9246142,-20.6721926
Waterfalls,Glymur,64.3916755,-21.2505702999999
Waterfalls,Kvarnarhólsárfoss,63.528779,-19.481304
Waterfalls,Stjórnarfoss,63.799752,-18.0613013
Waterfalls,Haifoss Waterfall,64.2078881,-19.6868531
The Ring Road,The Ring Road,,
The Ring Road,Hvalfjörður Tunnel,64.3019473,-21.8631227
The Ultimate Golden Circle Route,Golden Circle Route,,
The Ultimate Golden Circle Route,Gullfoss,64.325864,-20.126588
The Ultimate Golden Circle Route,Geysir Geothermal Area,64.279147,-20.358267
The Ultimate Golden Circle Route,Þingvellir National Park,64.2571245,-21.1307055
Tours and activities,Whales in North Iceland -  Húsavík,66.3691793,-17.5452818
Tours and activities,Whales around Reykjavík,64.3993115,-23.0273437
Tours and activities,Whales in North Iceland - Dalvík,66.1232928,-18.4555837
Tours and activities,Whales around Snæfellsnes,65.1884871,-23.5100316
Tours and activities,Whales around the Westfjords - Hólmavík,65.6608416,-21.3227216
Tours and activities,Svínafellsjökull Glacier Hike,64.0185923,-16.8214782
Tours and activities,Falljökull Glacier Hike,63.9763889,-16.7700001
Tours and activities,Skaftafell Glacier Hike,64.070414,-16.9751755
Tours and activities,Sólheimajökull glacier hike,63.5569444,-19.3027778
Tours and activities,Snowmobile on Langjokull - From Gullfoss Cafe,64.325547,-20.129534
Tours and activities,Snowmobiling on Langjökull glacier,64.6507839,-20.5826515
Tours and activities,Katla volcano ice cave,63.6467299,-19.1302847
Tours and activities,Langjökull ice cave,64.655011,-20.2437849
Tours and activities,Vatnajökull crystal ice caves,64.2756153,-16.4739064
Tours and activities,Boat tour on Jökulsárlón glacier lagoon,64.0804542,-16.2298968
Tours and activities,Puffins on Ingólfshöfði,63.8,-16.64
Tours and activities,Puffins around Reykjavík,64.1756605,-21.9510269
Tours and activities,Puffins in the Westman islands,63.4222595,-20.2752686
Tours and activities,Snorkeling and diving at Silfra,64.2552927,-21.1168267
Tours and activities,Ocean dive,64.1112018,-22.60849
Tours and activities,River rafting from Drumbo,64.2288728,-20.2858058
Tours and activities,Kjölur route horse riding,65.0360925,-19.5837446
Tours and activities,Golden Circle horse riding,64.2451915,-20.400238
Tours and activities,Snæfellsnes horse riding,64.8827619,-23.2388255
Tours and activities,Highlands horse riding,63.9180583,-19.3881226
Tours and activities,North Iceland horse riding,65.5294645,-19.3826294
Tours and activities,Reykjavík horse riding,64.0454665,-21.9115448
Tours and activities,Kayaking at Heinagerg glacier lagoon,64.2979511,-15.6702805
Tours and activities,Kayaking at Jökulsárlón glacier lagoon,64.0685966,-16.2204552
Tours and activities,Kayaking near Ísafjörður,66.0627722,-23.1517982
Tours and activities,Cycling near Ísafjörður,66.054622,-23.1801224
Tours and activities,ATV adventures near Reykjavík,64.136188,-21.7252174
Tours and activities,ATV adventures near Bláfjöll,63.9770155,-21.6037562
Tours and activities,Buggy Adventures near Reykjavík,64.1347942,-21.7554797
Tours and activities,Geothermal dive on West Iceland,63.9201714,-21.9829559
Tours and activities,Geothermal dive in North Iceland,65.7114277,-18.0951691
